exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
GMO,BTC_JPY,17563613,0.00500000,17568894,0.02000000,2025-07-16T07:08:03.345210Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567927,0.05133301,2025-07-16T07:08:03.361474Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567927,0.05133301,2025-07-16T07:08:03.489095Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:03.504724Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:03.523215Z
BITFLYER,FX_BTC_JPY,17564580,0.03000000,17567927,0.05133301,2025-07-16T07:08:03.604466Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:03.621703Z
BITFLYER,FX_BTC_JPY,17564580,0.03000000,17567927,0.05133301,2025-07-16T07:08:03.709089Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:03.740363Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:03.798354Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567927,0.05133301,2025-07-16T07:08:03.798999Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567927,0.05133301,2025-07-16T07:08:03.821554Z
GMO,BTC_JPY,17563630,0.00500000,17568334,0.03000000,2025-07-16T07:08:03.853060Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:03.876117Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567811,0.00133000,2025-07-16T07:08:03.921855Z
BITFLYER,FX_BTC_JPY,17564579,0.02000000,17567811,0.00133000,2025-07-16T07:08:04.022526Z
BITFLYER,FX_BTC_JPY,17564553,0.00300151,17567811,0.00133000,2025-07-16T07:08:04.130975Z
BITFLYER,FX_BTC_JPY,17564553,0.00300151,17567811,0.00133000,2025-07-16T07:08:04.276894Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:04.289735Z
GMO,BTC_JPY,17563647,0.00500000,17567329,0.02000000,2025-07-16T07:08:04.354261Z
BITFLYER,FX_BTC_JPY,17564553,0.00300151,17567811,0.00133000,2025-07-16T07:08:04.399934Z
BITFLYER,FX_BTC_JPY,17564210,0.05000000,17567811,0.00133000,2025-07-16T07:08:04.505114Z
BITFLYER,FX_BTC_JPY,17563872,0.01885963,17567811,0.00133000,2025-07-16T07:08:04.623546Z
BITFLYER,FX_BTC_JPY,17563835,0.08000000,17567811,0.00133000,2025-07-16T07:08:04.735775Z
BITFLYER,BTC_JPY,17587670,0.08463000,17589882,0.03500000,2025-07-16T07:08:04.781694Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:04.800311Z
BITFLYER,FX_BTC_JPY,17564211,0.00100000,17567811,0.00133000,2025-07-16T07:08:04.835223Z
GMO,BTC_JPY,17563664,0.00500000,17568608,0.02000000,2025-07-16T07:08:04.862837Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:04.939555Z
BITFLYER,FX_BTC_JPY,17564211,0.00100000,17567811,0.00133000,2025-07-16T07:08:04.976548Z
BITFLYER,FX_BTC_JPY,17563882,0.01000000,17567893,0.01000000,2025-07-16T07:08:05.086711Z
BITFLYER,FX_BTC_JPY,17563882,0.01000000,17568183,0.01000000,2025-07-16T07:08:05.186396Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.187001Z
BITFLYER,FX_BTC_JPY,17563882,0.01000000,17567802,0.02000000,2025-07-16T07:08:05.293010Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:05.299413Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.307852Z
GMO,BTC_JPY,17562121,0.02000000,17567993,0.02000000,2025-07-16T07:08:05.363597Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17567802,0.02000000,2025-07-16T07:08:05.398856Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.422901Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17567802,0.02000000,2025-07-16T07:08:05.523197Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.549169Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17567802,0.02000000,2025-07-16T07:08:05.680940Z
BITFLYER,BTC_JPY,17587846,0.00400500,17589882,0.03500000,2025-07-16T07:08:05.700847Z
BITFLYER,FX_BTC_JPY,17563889,0.04900000,17567802,0.02000000,2025-07-16T07:08:05.781232Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:05.804990Z
