exchange,symbol,ts,bid1,bid1vol,bid2,bid2vol,bid3,bid3vol,bid4,bid4vol,bid5,bid5vol,bid6,bid6vol,bid7,bid7vol,bid8,bid8vol,ask1,ask1vol,ask2,ask2vol,ask3,ask3vol,ask4,ask4vol,ask5,ask5vol,ask6,ask6vol,ask7,ask7vol,ask8,ask8vol
BITFLYER,BTC_JPY,2025-07-16T05:19:16.193805Z,17581850,0.02781126,17581848,0.00130462,17580256,0.02200000,17579800,0.00100000,17579211,0.00364226,17576781,0.00569650,17576765,0.01119360,17576574,0.00692837,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17587693,0.01107040,17588197,0.05000000,17589117,0.02827694,17589118,0.04046000
GMO,BTC_JPY,2025-07-16T05:19:16.210441Z,17562835,0.02000000,17561694,0.02000000,17561169,0.04700000,17560844,0.02000000,17560739,0.02000000,17560205,0.05000000,17559521,0.01000000,17558365,0.10900000,17568639,0.00100000,17568849,0.01000000,17569175,0.02000000,17569176,0.00300000,17569477,0.02000000,17569506,0.02000000,17570767,0.01000000,17570826,0.00100000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.217302Z,17568640,0.01000000,17567697,0.05121753,17567380,0.01001279,17566240,0.00364513,17566205,0.02000000,17566197,0.04900000,17566196,0.05000000,17566189,0.06399297,17570879,0.00699000,17570880,0.00100000,17570881,0.03084597,17570889,0.09600703,17571235,0.03100000,17571298,0.05242202,17572085,0.05000000,17572092,0.06500000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.350849Z,17581850,0.02781126,17581848,0.00130462,17580256,0.02200000,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575866,0.01107040,17575284,0.01000000,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588197,0.05000000,17589117,0.02827694
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.374823Z,17568640,0.01000000,17567380,0.01001279,17566240,0.00364513,17566205,0.02000000,17566197,0.04900000,17566196,0.05000000,17566189,0.06399297,17566188,0.05000000,17570556,0.05063865,17570879,0.00699000,17570881,0.03084597,17570889,0.09600703,17571235,0.03100000,17572085,0.05000000,17572092,0.06500000,17572244,0.00300000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.492318Z,17581850,0.02781126,17581848,0.00130462,17580256,0.02200000,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575866,0.01107040,17575284,0.01000000,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588197,0.05000000,17589117,0.02827694
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.511679Z,17568640,0.01000000,17567380,0.01001279,17566240,0.00364513,17566205,0.02000000,17566197,0.04900000,17566196,0.05000000,17566189,0.06399297,17566188,0.05000000,17570556,0.05063865,17570878,0.00100000,17570879,0.00699000,17570881,0.03084597,17570889,0.09600703,17571235,0.03100000,17572085,0.05000000,17572092,0.06500000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.704636Z,17581848,0.00130462,17580257,0.03716886,17580256,0.02200000,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879,17588197,0.05000000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:16.622364Z,17568640,0.01000000,17568249,0.01000000,17566956,0.05204175,17566240,0.00728936,17566205,0.02000000,17566197,0.04900000,17566189,0.06399297,17566188,0.05000000,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570878,0.00100000,17570881,0.03084597,17570889,0.09600703,17571235,0.03100000,17572076,0.02000000
BITFLYER,BTC_JPY,2025-07-16T05:19:16.704636Z,17581848,0.00130462,17580257,0.03716886,17580256,0.02200000,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17586295,0.02000000,17586298,0.03500000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17587693,0.01107040,17588196,0.02691879,17588197,0.05000000
