exchange,symbol,trade_id,price,size,side,timestamp,created_at
GMO,BTC,GMO-1752646524837,17560501,0.00700000,SELL,2025-07-16T06:15:24.863Z,2025-07-16T06:15:24.837311
BITFLYER,BTC_JPY,BITFLYER-2609086460,17550442,0.01000000,SELL,2025-07-16T06:15:28.493476600Z,2025-07-16T06:15:28.519401
GMO,BTC,GMO-1752646528871,17561255,0.00210000,BUY,2025-07-16T06:15:28.876Z,2025-07-16T06:15:28.872213
GMO,BTC,GMO-1752646528873,17561255,0.00210000,SELL,2025-07-16T06:15:28.876Z,2025-07-16T06:15:28.873491
BITFLYER,BTC_JPY,BITFLYER-2609086461,17550448,0.01000000,SELL,2025-07-16T06:15:31.867629100Z,2025-07-16T06:15:31.911334
BITFLYER,FX_BTC_JPY,BITFLYER-2609084282,17534068,0.00100000,BUY,2025-07-16T06:15:32.421529200Z,2025-07-16T06:15:32.419983
BITFLYER,BTC_JPY,BITFLYER-2609086462,17555985,0.01167190,BUY,2025-07-16T06:15:32.400322700Z,2025-07-16T06:15:32.465409
GMO,BTC,GMO-1752646532835,17561247,0.00010000,BUY,2025-07-16T06:15:32.866Z,2025-07-16T06:15:32.835303
GMO,BTC,GMO-1752646532835,17561247,0.00010000,SELL,2025-07-16T06:15:32.866Z,2025-07-16T06:15:32.835407
GMO,BTC,GMO-1752646532835,17561248,0.00680000,BUY,2025-07-16T06:15:32.866Z,2025-07-16T06:15:32.835495
GMO,BTC,GMO-1752646532835,17561248,0.00680000,SELL,2025-07-16T06:15:32.866Z,2025-07-16T06:15:32.835567
BITFLYER,FX_BTC_JPY,BITFLYER-2609084283,17533340,0.01000000,SELL,2025-07-16T06:15:33.535923500Z,2025-07-16T06:15:33.570358
BITFLYER,BTC_JPY,BITFLYER-2609086465,17555959,0.01000000,BUY,2025-07-16T06:15:36.567541700Z,2025-07-16T06:15:36.607622
GMO,BTC,GMO-1752646536828,17561050,0.00260000,BUY,2025-07-16T06:15:36.859Z,2025-07-16T06:15:36.828875
GMO,BTC,GMO-1752646536829,17561050,0.00260000,SELL,2025-07-16T06:15:36.859Z,2025-07-16T06:15:36.829223
GMO,BTC,GMO-1752646540822,17561399,0.00230000,BUY,2025-07-16T06:15:40.856Z,2025-07-16T06:15:40.823032
GMO,BTC,GMO-1752646540823,17561399,0.00230000,SELL,2025-07-16T06:15:40.856Z,2025-07-16T06:15:40.823259
